1  , 还是要好好学习啊 , 雪伦 , 哈尔滨工业大学 , 218.42 , 2015-07-12 
2  , 博哥的小风车 , youknow 、vice顺子 , 北京邮电大学 , 217.76 , 2015-07-12 
3  , 天戲 , 大德瑪西亞子民 、夏季冥想 , 吉林大学 , 216.78 , 2015-07-09 
4  , 爱萝莉真是太好了 , LeeZz 、o_ochao 、老坛酸菜 , 北京理工大学 , 215.08 , 2015-07-12 
5  , 海南芒果 , Mammoth 、大苹果 , 华中科技大学 , 214.43 , 2015-07-11 
6  , Sicily , KevinNing , 清华大学 , 214.03 , 2015-07-12 
7  , JQKA , JQKA , 华中科技大学 , 213.74 , 2015-07-10 
8  , Lucky Loser , Shadow1992 、ZakiW 、freeshire , 南京航空航天大学 , 213.39 , 2015-07-12 
9  , 酸辣紫菜泡面 , Dataer , 北京邮电大学 , 212.84 , 2015-07-10 
10  , ShenYangHot , TreeNewBee 、yude , 天津大学 , 212.56 , 2015-07-11 
11  , come on yyy , 木木 、xzlycandy 、风轻 , 中国科学技术大学 , 211.34 , 2015-07-10 
12  , 四季豆 , Kobian 、CLIO , 北京邮电大学 , 211.32 , 2015-07-12 
13  , 三只熊 , 旋风小子 、大熊星座 、rocklee , 哈尔滨工业大学 , 210.57 , 2015-07-09 
14  , scrapinghub , ddd , 其它-国防科学技术大学 , 210.25 , 2015-07-12 
15  , 黑风双煞 , wjrenwh 、wjcajhp , 北京邮电大学 , 208.89 , 2015-07-10 
16  , qqqqq , teldrassil 、PhillipHu 、疾风驰宇 , 东南大学 , 207.38 , 2015-07-12 
17  , 樱园的玻尔兹曼机 , bigdataminer 、邪魅酷霸拽的花伦哥哥 、luke , 武汉大学 , 207.04 , 2015-07-06 
18  , kabujinuo , kabujinuo , 香港科技大学 , 206.61 , 2015-07-11 
19  , 不要太在意名字 , 小胖子要减肥 、若尘 、Hi , 杭州电子科技大学 , 205.96 , 2015-07-11 
20  , 资深菜鸟 , kennyou 、慕》CS》岩 、chengzi , 桂林电子科技大学 , 205.84 , 2015-07-10 
21  , Resolution , F_eng 、realizing , 中国科学院 , 205.69 , 2015-07-10 
22  , 你猜宇宙有几维？ , eleven-dimension 、大数据有多大 、小豆子 , 北京邮电大学 , 205.40 , 2015-07-09 
23  , fighting! , week , 无 , 204.91 , 2015-07-09 
24  , Thanos , Optimus 、cocoa 、St.Young , 中国科学院 , 204.69 , 2015-07-12 
25  , 求带2015 , 白勺的 , 中南大学 , 204.55 , 2015-07-12 
26  , 香菜 , 我是香菜啦啦啦 , 兰州大学 , 204.41 , 2015-07-11 
27  , LogHorizon , LogHorizon , 电子科技大学 , 204.05 , 2015-07-10 
28  , 古韵遗风 , 遗风点点 , 中国科学院 , 203.52 , 2015-07-10 
29  , Dimension of Curiosity , DOC 、小南瓜 、nishizhen , 北京航空航天大学 , 203.22 , 2015-07-08 
30  , NewType , 安麒 、Deborah , 广州视源电子科技股份有限公司 , 202.98 , 2015-07-12 
31  , J , Jackie 、绿皮火车 , 桂林电子科技大学 , 202.61 , 2015-07-07 
32  , 飞猪 , 飞猪 , 南京航空航天大学 , 202.57 , 2015-07-05 
33  , ZZZZZ , ZLAKE , 香港科技大学 , 202.25 , 2015-07-08 
34  , zhcgb , chengzidepp , 云南农大 , 202.13 , 2015-07-09 
35  , JideQian , Jide 、ReadMe 、CG , 中国科学院 , 201.69 , 2015-07-11 
36  , 不知道叫什么名字 , 讨厌的周末 , 清华大学 , 201.22 , 2015-07-12 
37  , SixFish , 宝宝鱼 、sixgod 、Bruce_L , 中国科学院 , 200.89 , 2015-07-05 
38  , 小芒果 , Swen , 北京航空航天大学 , 200.88 , 2015-07-11 
39  , datahacker , 金陵书生 、笨笨2 , 南京邮电大学 , 200.82 , 2015-07-11 
40  , SmileLemon , lxcheng322 、河里的石头 、不吃柠檬 , 天津理工 , 200.52 , 2015-07-12 
41  , 以上成绩作废 , tianchidasai , 电子科技大学 , 200.52 , 2015-07-09 
42  , BIT_STAT_PHD , k风 , 北京理工大学 , 200.32 , 2015-07-12 
43  , 锦瑟 , Josh 、锦瑟无端 , 中国科学院 , 199.91 , 2015-07-09 
44  , 花样姐姐 , 不点 、游弋的蔷薇 、守望者 , 北京邮电大学 , 199.85 , 2015-07-12 
45  , Tea , 方硕 , 华南理工大学 , 199.83 , 2015-07-08 
46  , runningteam , 会长 、竹韵潇潇 、monologue , 东南大学 , 199.68 , 2015-07-03 
47  , chelseayuan , chelseayuan , 浙江大学 , 199.47 , 2015-07-10 
48  , 每天早起吃早餐 , forest , 哈尔滨工业大学 , 199.35 , 2015-07-03 
49  , stephanieleong , Andos 、Stephanie 、kangkona , 中国科学技术大学 , 199.32 , 2015-07-03 
