1 , ZJUer_不惧风雨 , Geoffrey 、舒小雨 , 浙江大学 , 217.71 , 2015-07-21 
2  , 野驴飞翔 , adamzhao 、Coder_bin 、lxin , 哈尔滨工业大学 , 215.77 , 2015-07-21 
3  , JQKA , JQKA , 华中科技大学 , 213.91 , 2015-07-21 
4  , 天戲 , 大德瑪西亞子民 、夏季冥想 , 吉林大学 , 212.62 , 2015-07-21 
5  , 四季豆 , Kobian 、CLIO , 北京邮电大学 , 211.88 , 2015-07-20 
6  , 还是要好好学习啊 , 雪伦 , 哈尔滨工业大学 , 211.47 , 2015-07-20 
7  , 百安星辰 , 百安星辰 , 其它-国防科学技术大学 , 210.63 , 2015-07-21 
8  , chelseayuan , chelseayuan , 浙江大学 , 209.89 , 2015-07-21 
9  , 你猜宇宙有几维？ , eleven-dimension 、大数据有多大 、小豆子 , 北京邮电大学 , 208.15 , 2015-07-20 
10 , Second , DataEngineer , 同济大学 , 206.75 , 2015-07-21 
11  , 三只熊 , 旋风小子 、大熊星座 、rocklee , 哈尔滨工业大学 , 206.25 , 2015-07-21 
12  , Sicily , KevinNing , 清华大学 , 205.81 , 2015-07-20 
13  , 快乐的小金牛 , yhdlala , 西安电子科技大学 , 205.27 , 2015-07-21 
14  , scrapinghub , ddd , 其它-国防科学技术大学 , 204.85 , 2015-07-20 
15  , 樱园的玻尔兹曼机 , bigdataminer 、邪魅酷霸拽的花伦哥哥 、luke , 武汉大学 , 204.62 , 2015-07-21 
16  , lukaFans , luka花恋蝶 , 东南大学 , 203.54 , 2015-07-21 
17  , fighting! , week , 无 , 203.50 , 2015-07-20 
18  , 酸辣紫菜泡面 , Dataer , 北京邮电大学 , 203.43 , 2015-07-21 
19  , 颤抖吧，人类！ , 乡村别墅 , 安徽工业大学 , 202.75 , 2015-07-20 
20  , Day Dream , 任成磊 、卡卡 、sololament , 华东师大 , 201.91 , 2015-07-21 
21  , 数学必胜 , orzsql , 吉林大学 , 201.48 , 2015-07-20 
22  , 求带2015 , 白勺的 , 中南大学 , 200.79 , 2015-07-20 
23  , 天池蜗牛 , 乔木006 、广州Abel , 广东工业大学 , 200.38 , 2015-07-21 
24  , runningteam , 会长 、竹韵潇潇 、monologue , 东南大学 , 199.53 , 2015-07-21 
25  , 吃货组 , 小吃货 、Dreamsoul , 杭州电子科技大学 , 199.03 , 2015-07-20 
26  , SixFish , 宝宝鱼 、sixgod 、Bruce_L , 中国科学院 , 199.01 , 2015-07-21 
27  , 阳梦沙笔 , ym_xhh 、梓桐 、ZRLB , 重庆邮电大学 , 198.95 , 2015-07-21 
28  , 信科19楼 , BRYAN 、phoebe 、浪灬飞 , 重庆邮电大学 , 198.75 , 2015-07-21 
29  , 第二赛季接着干 , 快乐人生 , 西安电子科技大学 , 198.51 , 2015-07-21 
30  , 花样姐姐 , 不点 、游弋的蔷薇 、守望者 , 北京邮电大学 , 198.48 , 2015-07-21 
31  , stackoverflow , Nothrow 、freedom 、SegmentFault , 杭州电子科技大学 , 198.08 , 2015-07-21 
32  , 长得帅，死得快 , Mr su_苏 , 武汉理工 , 197.78 , 2015-07-20 
33  , 资深菜鸟 , kennyou 、慕》CS》岩 、chengzi , 桂林电子科技大学 , 197.57 , 2015-07-21 
34  , AC哥哥 , AC哥哥 , 浙江大学 , 197.53 , 2015-07-20 
35  , 背水1战 , Sunshine123 , 中国科学院 , 197.52 , 2015-07-21 
36  , SmileLemon , lxcheng322 、河里的石头 、不吃柠檬 , 天津理工 , 197.48 , 2015-07-20 
37  , 不知道叫什么名字 , 讨厌的周末 , 清华大学 , 197.06 , 2015-07-21 
38  , 海南芒果 , Mammoth 、大苹果 , 华中科技大学 , 197.03 , 2015-07-21 
39  , LoveMango , fmr1011 , 浙江大学 , 196.95 , 2015-07-21 
40  , 苏飞 , 苏飞 , 北京大学 , 196.58 , 2015-07-20 
41  , Abner_kaho , abner_Young 、kaho 、sysu_xf , 中山大学 , 196.38 , 2015-07-20 
42  , 大磊哥 , 丁婕 , 华东师大 , 196.28 , 2015-07-21 
43  , stephanieleong , Andos 、Stephanie 、kangkona , 中国科学技术大学 , 195.77 , 2015-07-21 
44  , 锦瑟 , Josh 、锦瑟无端 , 中国科学院 , 195.40 , 2015-07-21 
45  , come on yyy , 木木 、xzlycandy 、风轻 , 中国科学技术大学 , 195.25 , 2015-07-20 
46  , Thanos , Optimus 、cocoa 、St.Young , 中国科学院 , 195.05 , 2015-07-21 
47  , Nova Heart , Beautiful Boys 、天池aaa , 浙江大学 , 194.97 , 2015-07-21 
48  , 飞飞爱飞飞 , 飞飞爱飞飞 , 南京航空航天大学 , 194.54 , 2015-07-21 
49  , 不要怕！是技术性调整！不要怕！ , 城寒 、SIDIG 、pklfz , 北京邮电大学 , 194.48 , 2015-07-20 
