1 , 天戲 , 大德瑪西亞子民 、qq710467272 , 吉林大学 , 216.78 , 2015-07-09 
2  , 爱萝莉真是太好了 , LeeZz 、o_ochao 、老坛酸菜 , 北京理工大学 , 214.15 , 2015-07-10 
3  , JQKA , JQKA , 华中科技大学 , 213.74 , 2015-07-10 
4  , 还是要好好学习啊 , 雪伦 , 哈尔滨工业大学 , 212.87 , 2015-07-09 
5  , 酸辣紫菜泡面 , Dataer , 北京邮电大学 , 212.84 , 2015-07-10 
6  , 海南芒果 , Mammoth 、大苹果 , 华中科技大学 , 212.77 , 2015-07-08 
7  , Sicily , KevinNing , 清华大学 , 212.57 , 2015-07-09 
8  , ShenYangHot , TreeNewBee 、yude , 天津大学 , 211.70 , 2015-07-09 
9  , come on yyy , 木木 、xzlycandy 、风轻 , 中国科学技术大学 , 211.34 , 2015-07-10 
10  , 三只熊 , 旋风小子 、大熊星座 、rocklee , 哈尔滨工业大学 , 210.57 , 2015-07-09 
11  , 黑风双煞 , wjrenwh 、wjcajhp , 北京邮电大学 , 208.89 , 2015-07-10 
12  , Lucky Loser , Shadow1992 、ZakiW 、freeshire , 南京航空航天大学 , 208.31 , 2015-07-10 
13  , qqqqq , teldrassil 、PhillipHu 、疾风驰宇 , 东南大学 , 207.28 , 2015-07-10 
14  , 樱园的玻尔兹曼机 , bigdataminer 、邪魅酷霸拽的花伦哥哥 、luke , 武汉大学 , 207.04 , 2015-07-06 
15  , keep fighting , keeper , 无 , 206.33 , 2015-07-09 
16  , 资深菜鸟 , kennyou 、慕》CS》岩 、chengzi , 桂林电子科技大学 , 205.84 , 2015-07-10 
17  , Resolution , F_eng 、realizing , 中国科学院 , 205.69 , 2015-07-10 
18  , 你猜宇宙有几维？ , eleven-dimension 、大数据有多大 、小豆子 , 北京邮电大学 , 205.40 , 2015-07-09 
19  , scrapinghub , ddd , 其它-国防科学技术大学 , 205.22 , 2015-07-09 
20  , fighting! , week , 无 , 204.91 , 2015-07-09 
21  , 不要太在意名字 , 小胖子要减肥 、若尘 、Hi , 杭州电子科技大学 , 204.45 , 2015-07-09 
22  , LogHorizon , LogHorizon , 电子科技大学 , 204.05 , 2015-07-10 
23  , 香菜 , 我是香菜啦啦啦 , 兰州大学 , 203.65 , 2015-07-10 
24  , 古韵遗风 , 遗风点点 , 中国科学院 , 203.52 , 2015-07-10 
25  , Dimension of Curiosity , DOC 、小南瓜 、nishizhen , 北京航空航天大学 , 203.22 , 2015-07-08 
26  , J , Jackie 、绿皮火车 , 桂林电子科技大学 , 202.61 , 2015-07-07 
27  , 飞猪 , 飞猪 , 南京航空航天大学 , 202.57 , 2015-07-05 
28  , ZZZZZ , ZLAKE , 香港科技大学 , 202.25 , 2015-07-08 
29  , zhcgb , chengzidepp , 云南农大 , 202.13 , 2015-07-09 
30  , 四季豆 , Kobian 、CLIO , 北京邮电大学 , 202.13 , 2015-07-08 
31  , Thanos , Optimus 、cocoa 、St.Young , 中国科学院 , 201.49 , 2015-07-09 
32  , SixFish , 宝宝鱼 、sixgod 、Bruce_L , 中国科学院 , 200.89 , 2015-07-05 
33  , 以上成绩作废 , tianchidasai , 电子科技大学 , 200.52 , 2015-07-09 
34  , datahacker , 金陵书生 、笨笨2 , 南京邮电大学 , 200.32 , 2015-07-10 
35  , 锦瑟 , Josh 、锦瑟无端 , 中国科学院 , 199.91 , 2015-07-09 
36  , Tea , 方硕 , 华南理工大学 , 199.83 , 2015-07-08 
37  , runningteam , 会长 、竹韵潇潇 、monologue , 东南大学 , 199.68 , 2015-07-03 
38  , chelseayuan , chelseayuan , 浙江大学 , 199.47 , 2015-07-10 
39  , 每天早起吃早餐 , forest , 哈尔滨工业大学 , 199.35 , 2015-07-03 
40  , stephanieleong , Andos 、Stephanie 、kangkona , 中国科学技术大学 , 199.32 , 2015-07-03 
41  , 我是只小小小菜鸟 , 逝水无痕114 , 电子科技大学 , 199.07 , 2015-07-10 
42  , two_little_pigs , carrie , 同济大学 , 198.64 , 2015-07-10 
43  , 小博士是傻逼2 , 萨尔多瓦特斯 , 阜阳师范 , 198.55 , 2015-07-10 
44  , AC哥哥 , AC哥哥 , 浙江大学 , 198.46 , 2015-07-10 
45  , 花样姐姐 , 不点 、游弋的蔷薇 、守望者 , 北京邮电大学 , 198.41 , 2015-07-10 
46  , 小芒果 , Swen , 北京航空航天大学 , 198.29 , 2015-07-06 
47  , BIT_STAT_PHD , k风 , 北京理工大学 , 198.28 , 2015-07-09 
48  , 华哥爱食chocolate , 华哥爱食chocolate , 广东药学院 , 197.88 , 2015-07-10 
49  , 娃姐俾只青蛙捉住啦 , 华华 , 哈尔滨工业大学 , 197.84 , 2015-07-09 
50  , S.P.Q.R , Achilles 、MenGo 、Lucifer , 中国科学技术大学 , 197.69 , 2015-07-04 
51  , 这个团队的名字叫 , miracle 、EvanChen , 上海交通大学 , 197.59 , 2015-07-09 
52  , kabujinuo , kabujinuo , 香港科技大学 , 197.41 , 2015-07-10 
53  , 命悬一线 , csguru 、橡皮乱飞 、XinGe , Overseas-Univer... , 197.40 , 2015-07-10 
54  , 天池蜗牛 , 乔木006 、广州Abel , 广东工业大学 , 197.25 , 2015-07-07 
55  , day day up , Victor锋 、xqqzxy , 中国科学院 , 197.19 , 2015-07-10 
56  , ZJUer_不惧风雨 , marnuster 、舒小雨 , 浙江大学 , 197.10 , 2015-07-09 
57  , 2加2 , 2加2 , 西安电子科技大学 , 196.84 , 2015-07-08 
58  , 我蛤依旧笑春风 , littlehorsebrother , 南京理工 , 196.26 , 2015-07-08 
59  , 北冰洋 , 北极熊 , 北京邮电大学 , 195.69 , 2015-07-10 
60  , Duang~Duang , Duang~Duang , 华中科技大学 , 195.54 , 2015-07-08 
61  , stackoverflow , Nothrow 、freedom 、SegmentFault , 杭州电子科技大学 , 195.45 , 2015-07-08 
62  , 桐花雨 , 枫言风语 、喜欢猫猫的鱼 、桐花 , 北京邮电大学 , 195.41 , 2015-07-10 
63  , 不要怕！是技术性调整！不要怕！ , 城寒 、SIDIG 、pklfz , 北京邮电大学 , 195.13 , 2015-07-09 
64  , uestc_IE , KONG 、xushen 、Cccccute , 电子科技大学 , 195.05 , 2015-07-08 
65  , 蟹堡王 , 大星 , 哈尔滨工业大学 , 195.02 , 2015-07-10 
66  , Lakeside of Baikal , 潜卧终南 , 西安电子科技大学 , 194.74 , 2015-07-06 
67  , NewType , 安麒 、Deborah , 广州视源电子科技股份有限公司 , 194.55 , 2015-07-10 
68  , 小蚂蚁 , 把时间当做朋友 、bicelove 、小杰 , 浙江工商 , 194.37 , 2015-07-10 
69  , seu推土机 , 爱吃青蛙的蟾蜍 、小甜甜 、紫月小米 , 东南大学 , 194.33 , 2015-07-07 
70  , 颤抖吧，人类！ , 乡村别墅 , 安徽工业大学 , 194.24 , 2015-07-09 
71  , 帝都仰望星空大学 , DesTiny 、tlaw 、h2597650 , 中国科学院 , 194.22 , 2015-07-09 
72  , 小菜鸟00 , 小菜鸟 , 山东大学 , 194.20 , 2015-07-09 
73  , Turing , wchh9006 、梅子 、Unlearn , 浙江大学 , 193.94 , 2015-07-10 
74  , sauce buyer , windpls 、dami , 浙江大学 , 193.92 , 2015-07-09 
75  , guowei , guowei000 , 江南大学 , 193.86 , 2015-07-09 
76  , 静水流深123 , 静水流深 , 广西师范大学 , 193.86 , 2015-07-07 
77  , sibschen , chenquncuocuo , 中国科学院上海生命科学研究院 , 193.57 , 2015-07-07 
78  , qianjiye.de , Jiye 、HeanJean 、Lancer , 重庆大学 , 193.42 , 2015-07-07 
79  , 电光火石 , ghost 、喻天 、湘笑 , 西南交大 , 193.36 , 2015-07-09 
80  , 1/inf , 大邪神 、inf , 北京邮电大学 , 193.26 , 2015-07-10 
81  , FireBird , Monk , 北京大学 , 193.20 , 2015-07-10 
82  , 博哥的小风车 , youknow 、vice顺子 , 北京邮电大学 , 192.67 , 2015-07-04 
83  , USTC_2015 , 雪中漫步 , 中国科学技术大学 , 192.54 , 2015-07-06 
84  , 艺术大师 , 功夫小子 , 中国科学院 , 192.37 , 2015-07-08 
85  , Suicide , johnwin , 浙江大学 , 192.28 , 2015-07-10 
86  , RunPage , lemondy 、jasper 、Wanye , 北京理工大学 , 192.23 , 2015-07-07 
87  , 牛刀小试 , alexwolf 、HumoLudens 、了了 , 兰州大学 , 192.15 , 2015-07-05 
88  , 快乐的小金牛 , yhdlala , 西安电子科技大学 , 192.06 , 2015-07-10 
89  , 第二天战队 , 第二天 , 兰州大学 , 191.81 , 2015-07-10 
90  , 百安星辰 , 百安星辰 , 其它-国防科学技术大学 , 191.55 , 2015-07-10 
91  , 啦啦啦小队 , ItsCaRRot 、Ada Xu , Overseas-香港城市大学 , 191.50 , 2015-07-09 
92  , CACNTAP , CACNTAP , 华中农大 , 191.26 , 2015-07-06 
93  , daydayup , hanhanhanhuanghe 、derek , 浙江大学 , 191.21 , 2015-07-08 
94  , ustcsjc , aganlengzi , 中国科学技术大学 , 191.17 , 2015-07-08 
95  , 东方不败 , 独孤求败+西门春雪 、YiranX , 杭州电子科技大学 , 191.08 , 2015-07-10 
96  , 这一切都是命运石之门的选择 , EX咖喱棒 , 北京师范大学 , 191.01 , 2015-07-08 
97  , </Scorpion> , ReLoad 、gpy531 、龙前尘 , 东南大学 , 190.98 , 2015-07-10 
98  , Day Dream , 任成磊 、卡卡 、sololament , 华东师大 , 190.93 , 2015-07-08 
99  , 流光果冻 , 流光果冻 , 其它-扭曲丛林大学 , 190.78 , 2015-07-09 
100  , SDL , Derek_Xu 、bearrrl 、lhxandcxy , 华南理工大学 , 190.69 , 2015-07-05 
101  , 长得帅，死得快 , Mr su_苏 , 武汉理工 , 190.65 , 2015-07-07 
102  , super() , super() , 上海交通大学 , 190.21 , 2015-07-09 
103  , Richard_Team , Richard小号 , 南京大学 , 190.13 , 2015-07-10 
104  , Tampines , zqliu 、afaris , Overseas-Ecole ... , 189.80 , 2015-07-05 
105 , 仗剑而歌 , 青衣持剑客 、shaha_2 、蕊 , 中山大学 , 189.68 , 2015-07-10 
106  , 求带2015 , 白勺的 , 中南大学 , 189.41 , 2015-07-09 
107  , 取名字好难 , eeriee 、Jenny , 香港城市大学 , 189.39 , 2015-07-09 
108  , 大磊哥 , 丁婕 , 华东师大 , 189.36 , 2015-07-08 
109  , Jane , Jane , 浙江大学 , 189.31 , 2015-07-08 
110  , dataterminator , NUAAer 、xingye , 南京航空航天大学 , 189.10 , 2015-07-06 
111  , 吕小绿与红鲤鱼与绿鲤鱼与驴 , 追风骚年 、GZM 、爱吃梨的猿类 , 四川大学 , 188.89 , 2015-07-09 
112  , Big Dipper , johnsenxu 、闪电电电 、itudou , 北京邮电大学 , 188.52 , 2015-07-09 
113  , CHLL , JingCh , 中国科学技术大学 , 188.44 , 2015-07-07 
114  , tc_wanderer , wanderer 、lidai89 , 清华大学 , 188.18 , 2015-07-10 
115  , SmileLemon , lxcheng322 、河里的石头 、不吃柠檬 , 天津理工 , 187.98 , 2015-07-10 
116  , 江 , 画船听雨眠 , 电子科技大学 , 187.93 , 2015-07-09 
117  , dy的荣耀 , dy的荣耀 , 中南大学 , 187.93 , 2015-07-07 
118  , 瞎扯淡 , 吖louis , 暨南大学 , 187.86 , 2015-07-10 
119  , Machine , 召唤师 、Freedom01 , 南京大学 , 187.81 , 2015-07-08 
120  , dt_visu , god_dt , 四川大学 , 187.66 , 2015-07-09 
121  , 暗海风 , 暗海风 , 北京理工大学 , 187.28 , 2015-07-08 
122  , 我是矮嘟 , 我是矮嘟 , 肇庆学院 , 186.88 , 2015-07-07 
123  , zhangmcnic , zhangmcnic , 南通大学 , 186.87 , 2015-07-09 
124  , TRY SOMETHING , 新星 、专属丶小馨 , 黑龙江大学 , 186.73 , 2015-07-09 
125  , mikuFans , sweetacg , 东南大学 , 186.71 , 2015-07-06 
125  , ez , 伊泽瑞尔 , 南京大学 , 186.71 , 2015-07-07 
127  , cmxyql , shiwei 、Yuri 、kevinchennju , 南京大学 , 186.66 , 2015-07-07 
128  , 加油！！！ , lixianhappy , 浙江大学 , 186.53 , 2015-07-10 
129  , 野驴飞翔 , adamzhao 、Coder_bin 、lxin , 哈尔滨工业大学 , 186.51 , 2015-07-10 
130  , 吃货组 , 小吃货 、Dreamsoul , 杭州电子科技大学 , 186.50 , 2015-07-10 
131  , NoName , FFFF 、Janice 、爱下雹子 , 复旦大学 , 186.46 , 2015-07-10 
132  , 不知道叫什么名字 , 讨厌的周末 , 清华大学 , 186.26 , 2015-07-09 
133  , 歩留行 , 歩留行 , 中国科学院 , 186.13 , 2015-07-09 
134  , 和气 , 呆呆11 、樱四 、Miss Bear , 南邮 , 186.00 , 2015-07-08 
135  , 雪的独家记忆 , 雪的独家记忆 , 上海交通大学 , 185.85 , 2015-07-09 
136  , 0.0 , 落日长庚 , 山东师范大学 , 185.68 , 2015-07-10 
137  , tryAgain , 坚持 、s_jie , 电子科技大学 , 185.57 , 2015-07-07 
138  , 数据魔法师e , 数据魔法师 , 徐州工程学院 , 185.24 , 2015-07-06 
139  , 李 , 112233 , 电子科技大学 , 185.20 , 2015-07-06 
140  , 后来 , 关公风月 , 华南理工大学 , 185.13 , 2015-07-10 
141  , 镜花水月 , whys 、Loo 、chickenhanzeyu , 大连理工大学 , 185.08 , 2015-07-10 
142  , 梵高先生 , asong 、jaycicle 、phoenixwu0229 , 西安交通大学 , 185.01 , 2015-07-07 
143  , Nova Heart , Beautiful Boys 、天池aaa , 浙江大学 , 185.00 , 2015-07-08 
