1  , 海南芒果 , Mammoth 、大苹果 , 华中科技大学 , 212.77 , 2015-07-08 
2  , Sicily , KevinNing , 清华大学 , 212.18 , 2015-07-05 
3  , 爱萝莉真是太好了 , LeeZz 、o_ochao 、老坛酸菜 , 北京理工大学 , 211.78 , 2015-07-08 
4  , 天戲 , 大德瑪西亞子民 、qq710467272 , 吉林大学 , 210.47 , 2015-07-06 
5  , 还是要好好学习啊 , 雪伦 , 哈尔滨工业大学 , 208.69 , 2015-07-08 
6  , JQKA , JQKA , 华中科技大学 , 208.49 , 2015-07-05 
7  , 三只熊 , 旋风小子 、大熊星座 、rocklee , 哈尔滨工业大学 , 208.24 , 2015-07-08 
8  , 樱园的玻尔兹曼机 , bigdataminer 、邪魅酷霸拽的花伦哥哥 、luke , 武汉大学 , 207.04 , 2015-07-06 
9  , come on yyy , 木木 、xzlycandy 、风轻 , 中国科学技术大学 , 206.85 , 2015-07-06 
10  , 资深菜鸟 , kennyou 、慕》CS》岩 、chengzi , 桂林电子科技大学 , 205.58 , 2015-07-08 
11  , ShenYangHot , TreeNewBee 、yude , 天津大学 , 205.14 , 2015-07-08 
12  , Dimension of Curiosity , DOC 、小南瓜 、nishizhen , 北京航空航天大学 , 203.22 , 2015-07-08 
13  , J , Jackie 、绿皮火车 , 桂林电子科技大学 , 202.61 , 2015-07-07 
14  , 飞猪 , 飞猪 , 南京航空航天大学 , 202.57 , 2015-07-05 
15  , ZZZZZ , ZLAKE , 香港科技大学 , 202.25 , 2015-07-08 
16  , 四季豆 , Kobian 、CLIO , 北京邮电大学 , 202.13 , 2015-07-08 
17  , 不要太在意名字 , 小胖子要减肥 、若尘 、Hi , 杭州电子科技大学 , 201.90 , 2015-07-08 
18 , zhcgb , chengzidepp , 云南农大 , 201.71 , 2015-07-08 
19  , scrapinghub , ddd , 其它-国防科学技术大学 , 201.50 , 2015-07-07 
20  , LogHorizon , LogHorizon , 电子科技大学 , 201.22 , 2015-07-08 
21  , fighting! , week , 无 , 201.11 , 2015-07-08 
22  , SixFish , 宝宝鱼 、sixgod 、Bruce_L , 中国科学院 , 200.89 , 2015-07-05 
23  , Tea , 方硕 , 华南理工大学 , 199.83 , 2015-07-08 
24  , runningteam , 会长 、竹韵潇潇 、monologue , 东南大学 , 199.68 , 2015-07-03 
25  , qqqqq , teldrassil 、PhillipHu 、疾风驰宇 , 东南大学 , 199.62 , 2015-07-08 
26  , 酸辣紫菜泡面 , Dataer , 北京邮电大学 , 199.57 , 2015-07-08 
27  , 每天早起吃早餐 , forest , 哈尔滨工业大学 , 199.35 , 2015-07-03 
28  , stephanieleong , Andos 、Stephanie 、kangkona , 中国科学技术大学 , 199.32 , 2015-07-03 
29  , 香菜 , 我是香菜啦啦啦 , 兰州大学 , 199.21 , 2015-07-07 
30  , Thanos , Optimus 、cocoa 、St.Young , 中国科学院 , 198.69 , 2015-07-08 
31  , chelseayuan , chelseayuan , 浙江大学 , 198.49 , 2015-07-08 
32  , 小芒果 , Swen , 北京航空航天大学 , 198.29 , 2015-07-06 
33  , BIT_STAT_PHD , k风 , 北京理工大学 , 197.76 , 2015-07-07 
34  , S.P.Q.R , Achilles 、MenGo 、Lucifer , 中国科学技术大学 , 197.69 , 2015-07-04 
35  , 命悬一线 , csguru 、橡皮乱飞 、XinGe , Overseas-Univer... , 197.40 , 2015-07-08 
36  , 天池蜗牛 , 乔木006 、广州Abel , 广东工业大学 , 197.25 , 2015-07-07 
37  , 2加2 , 2加2 , 西安电子科技大学 , 196.84 , 2015-07-08 
38  , 黑风双煞 , wjrenwh 、wjcajhp , 北京邮电大学 , 196.35 , 2015-07-07 
39  , 我蛤依旧笑春风 , littlehorsebrother , 南京理工 , 196.26 , 2015-07-08 
40  , Duang~Duang , Duang~Duang , 华中科技大学 , 195.54 , 2015-07-08 
41  , AC哥哥 , AC哥哥 , 浙江大学 , 195.51 , 2015-07-06 
42  , stackoverflow , Nothrow 、freedom 、SegmentFault , 杭州电子科技大学 , 195.45 , 2015-07-08 
43  , uestc_IE , KONG 、xushen 、Cccccute , 电子科技大学 , 195.05 , 2015-07-08 
44  , 锦瑟 , Josh 、锦瑟无端 , 中国科学院 , 194.99 , 2015-07-08 
45  , Lakeside of Baikal , 潜卧终南 , 西安电子科技大学 , 194.74 , 2015-07-06 
46  , 蟹堡王 , 大星 , 哈尔滨工业大学 , 194.50 , 2015-07-08 
47  , Resolution , F_eng 、realizing , 中国科学院 , 194.38 , 2015-07-06 
48  , seu推土机 , 爱吃青蛙的蟾蜍 、小甜甜 、紫月小米 , 东南大学 , 194.33 , 2015-07-07 
49  , 静水流深123 , 静水流深 , 广西师范大学 , 193.86 , 2015-07-07 
50  , sauce buyer , windpls 、dami , 浙江大学 , 193.81 , 2015-07-08 
51  , sibschen , chenquncuocuo , 中国科学院上海生命科学研究院 , 193.57 , 2015-07-07 
52  , guowei , guowei000 , 江南大学 , 193.50 , 2015-07-08 
53  , qianjiye.de , Jiye 、HeanJean 、Lancer , 重庆大学 , 193.42 , 2015-07-07 
54  , 不要怕！是技术性调整！不要怕！ , 城寒 、SIDIG 、pklfz , 北京邮电大学 , 193.18 , 2015-07-07 
55  , 小蚂蚁 , 把时间当做朋友 、bicelove 、小杰 , 浙江工商 , 192.87 , 2015-07-03 
56  , 颤抖吧，人类！ , 乡村别墅 , 安徽工业大学 , 192.84 , 2015-07-06 
57  , 你猜宇宙有几维？ , eleven-dimension 、大数据有多大 、小豆子 , 北京邮电大学 , 192.70 , 2015-07-06 
58  , 博哥的小风车 , youknow 、vice顺子 , 北京邮电大学 , 192.67 , 2015-07-04 
59  , Lucky Loser , Shadow1992 、ZakiW 、freeshire , 南京航空航天大学 , 192.65 , 2015-07-04 
60  , keep fighting , keeper , 无 , 192.56 , 2015-07-08 
61  , USTC_2015 , 雪中漫步 , 中国科学技术大学 , 192.54 , 2015-07-06 
62  , 艺术大师 , 功夫小子 , 中国科学院 , 192.37 , 2015-07-08 
63  , RunPage , lemondy 、jasper 、Wanye , 北京理工大学 , 192.23 , 2015-07-07 
64  , 牛刀小试 , alexwolf 、HumoLudens 、了了 , 兰州大学 , 192.15 , 2015-07-05 
65  , CACNTAP , CACNTAP , 华中农大 , 191.26 , 2015-07-06 
66  , daydayup , hanhanhanhuanghe 、derek , 浙江大学 , 191.21 , 2015-07-08 
67  , ustcsjc , aganlengzi , 中国科学技术大学 , 191.17 , 2015-07-08 
68  , 这一切都是命运石之门的选择 , EX咖喱棒 , 北京师范大学 , 191.01 , 2015-07-08 
69  , 北冰洋 , 北极熊 , 北京邮电大学 , 191.00 , 2015-07-08 
70  , Day Dream , 任成磊 、卡卡 、sololament , 华东师大 , 190.93 , 2015-07-08 
71  , 小菜鸟00 , 小菜鸟 , 山东大学 , 190.91 , 2015-07-07 
72  , SDL , Derek_Xu 、bearrrl 、lhxandcxy , 华南理工大学 , 190.69 , 2015-07-05 
73  , 长得帅，死得快 , Mr su_苏 , 武汉理工 , 190.65 , 2015-07-07 
74  , 快乐的小金牛 , yhdlala , 西安电子科技大学 , 190.52 , 2015-07-06 
75  , 桐花雨 , 枫言风语 、喜欢猫猫的鱼 、桐花 , 北京邮电大学 , 190.44 , 2015-07-08 
76  , 1/inf , 大邪神 、inf , 北京邮电大学 , 190.32 , 2015-07-04 
77  , day day up , Victor锋 、xqqzxy , 中国科学院 , 190.29 , 2015-07-07 
78  , super() , super() , 上海交通大学 , 190.21 , 2015-07-08 
79  , NewType , 安麒 、Deborah , 广州视源电子科技股份有限公司 , 190.03 , 2015-07-06 
80  , Tampines , zqliu 、afaris , Overseas-Ecole ... , 189.80 , 2015-07-05 
81  , 第二天战队 , 第二天 , 兰州大学 , 189.65 , 2015-07-08 
82  , 我是只小小小菜鸟 , 逝水无痕114 , 电子科技大学 , 189.60 , 2015-07-03 
83  , 大磊哥 , 丁婕 , 华东师大 , 189.36 , 2015-07-08 
84  , Jane , Jane , 浙江大学 , 189.31 , 2015-07-08 
85  , dataterminator , NUAAer 、xingye , 南京航空航天大学 , 189.10 , 2015-07-06 
86  , kabujinuo , kabujinuo , 香港科技大学 , 188.77 , 2015-07-07 
87  , FireBird , Monk , 北京大学 , 188.69 , 2015-07-04 
88  , 这个团队的名字叫 , miracle 、EvanChen , 上海交通大学 , 188.50 , 2015-07-08 
89  , CHLL , JingCh , 中国科学技术大学 , 188.44 , 2015-07-07 
90  , dy的荣耀 , dy的荣耀 , 中南大学 , 187.93 , 2015-07-07 
91  , Machine , 召唤师 、Freedom01 , 南京大学 , 187.81 , 2015-07-08 
92  , 暗海风 , 暗海风 , 北京理工大学 , 187.28 , 2015-07-08 
93  , 流光果冻 , 流光果冻 , 其它-扭曲丛林大学 , 187.14 , 2015-07-06 
94  , 我是矮嘟 , 我是矮嘟 , 肇庆学院 , 186.88 , 2015-07-07 
95  , zhangmcnic , zhangmcnic , 南通大学 , 186.87 , 2015-07-08 
96  , SmileLemon , lxcheng322 、河里的石头 、不吃柠檬 , 天津理工 , 186.77 , 2015-07-08 
97  , ez , 伊泽瑞尔 , 南京大学 , 186.71 , 2015-07-07 
97  , 百安星辰 , 百安星辰 , 其它-国防科学技术大学 , 186.71 , 2015-07-08 
97  , dt_visu , god_dt , 四川大学 , 186.71 , 2015-07-05 
97  , 取名字好难 , eeriee 、Jenny , 香港城市大学 , 186.71 , 2015-07-08 
97  , TRY SOMETHING , 新星 、专属丶小馨 , 黑龙江大学 , 186.71 , 2015-07-04 
97  , mikuFans , sweetacg , 东南大学 , 186.71 , 2015-07-06 
103  , cmxyql , shiwei 、Yuri 、kevinchennju , 南京大学 , 186.66 , 2015-07-07 
104  , 电光火石 , ghost 、喻天 、湘笑 , 西南交大 , 186.65 , 2015-07-05 
105  , 以上成绩作废 , tianchidasai , 电子科技大学 , 186.64 , 2015-07-06 
106  , 啦啦啦小队 , ItsCaRRot 、Ada Xu , Overseas-香港城市大学 , 186.62 , 2015-07-07 
107  , 吃货组 , 小吃货 、Dreamsoul , 杭州电子科技大学 , 186.50 , 2015-07-08 
108  , Turing , wchh9006 、梅子 、Unlearn , 浙江大学 , 186.47 , 2015-07-08 
